quarter,down,yardsToGo,possessionTeam,defensiveTeam,absoluteYardlineNumber,offenseFormation,playAction,dropbackType,qbSneak,yardsGained,pff_passCoverage,pff_coverage,leftReceivers,rightReceivers,secondsRemainingInQuarter,offense_mean_yards,defense_mean_allowed,log_matchup_ratio
1,2,15,CIN,NYJ,43,Shotgun,False,Traditional,,7,Cover-6 Right,Zone,3,1,719,5.0,0.0,0.9808288363452505
2,2,7,SEA,ARI,87,Other,True,Rollout,,6,Cover-3,Zone,2,2,864,-1.0,5.46061771272637,-1.4422742424711983
3,2,4,NE,NYJ,51,Shotgun,False,Other,False,7,Cover 6-Left,Blitz,3,1,545,24.5,3.5,1.4423835928059439
1,1,10,BAL,CIN,81,Singleback,True,Rollout,,8,Quarters,Zone,3,1,37,2.0,5.46061771272637,-0.5259841105966234
2,3,1,ATL,CIN,11,I-Form,False,Other,False,1,Goal Line,Blitz,2,1,289,2.0,8.0,-0.7884571421825154
2,1,10,MIA,BUF,54,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,120,5.46061771272637,5.0,0.055980631350839014
4,2,2,CHI,MIN,77,Shotgun,False,Traditional,,3,Cover 6-Left,Blitz,2,2,139,5.46061771272637,-1.0,1.4422742424711983
2,3,3,SEA,ATL,23,Empty,False,Traditional,,0,Cover-1,Man,3,2,17,2.5,9.0,-0.7801583605799303
3,3,1,CLE,CIN,44,Singleback,False,QB_Sneak,True,3,Cover-1,Man,3,1,841,1.0,4.5,-0.6286084260891301
3,2,5,NE,GB,65,Singleback,False,Other,False,14,Cover 6-Left,Blitz,3,1,450,18.666666666666668,5.46061771272637,0.9403526505045718
2,2,1,CLE,NE,81,Shotgun,False,Traditional,,0,Cover-1,Man,2,2,42,2.0,3.0,-0.18232149012731233
4,4,1,PHI,DET,70,I-Form,False,QB_Sneak,True,1,Goal Line,Blitz,2,1,66,12.5,6.0,0.5436153533990338
2,2,10,WAS,JAX,32,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,766,-1.5,-0.5,-0.5108250904332264
2,3,1,JAX,PHI,44,Singleback,False,Other,True,1,Cover-1,Man,3,1,190,1.0,5.46061771272637,-0.749127561910878
1,1,10,IND,WAS,102,Singleback,False,Other,False,3,Cover-3,Zone,3,1,317,2.5,6.0,-0.4924763436836942
1,2,6,CIN,NYJ,81,Shotgun,False,Traditional,,9,Quarters,Zone,2,2,271,5.4,4.666666666666667,0.09134975581390636
1,2,6,ATL,CAR,68,Shotgun,False,Traditional,,-1,Cover-3,Zone,3,1,195,1.5,2.0,-0.1053604712134006
1,1,10,IND,KC,44,Shotgun,False,Traditional,,0,Quarters,Zone,2,2,892,2.6666666666666665,5.46061771272637,-0.40082101470142306
1,2,7,NO,TB,70,Singleback,False,Other,False,4,Cover-3,Zone,2,2,126,5.46061771272637,-1.0,1.4422742424711983
2,3,16,HOU,DEN,79,Empty,False,Traditional,,5,Cover-3 Seam,Zone,3,2,484,3.0,1.5,0.287681961340713
3,1,10,HOU,DEN,87,Shotgun,False,Traditional,,5,Quarters,Zone,3,1,748,3.6666666666666665,2.6666666666666665,0.16251887655661573
1,3,2,BAL,NYJ,46,Empty,True,Run,False,4,Quarters,Zone,3,2,761,4.0,5.75,-0.22314349417136725
3,1,10,CIN,MIA,61,Singleback,False,Other,False,4,Cover-3,Zone,3,1,441,6.0,5.46061771272637,0.0618023765277731
1,1,5,LV,ARI,35,I-Form,True,Traditional,,19,Cover-3,Zone,2,1,81,-2.0,6.0,-2.197222799560417
3,2,10,BUF,GB,74,Shotgun,False,Scramble,False,10,Cover-3 Seam,Zone,3,1,545,5.46061771272637,14.0,-0.6977910386726244
1,2,3,TB,ATL,27,Shotgun,False,Traditional,,0,Cover-1,Man,2,2,329,1.0,23.666666666666668,-1.8971195598860036
1,3,1,ATL,SF,30,Shotgun,True,Run,False,5,Cover-1,Man,3,1,707,0.6666666666666666,5.46061771272637,-0.8361388934459862
4,1,10,WAS,DET,97,Shotgun,False,Traditional,,0,Bracket,Blitz,3,1,230,-1.0,4.333333333333333,-1.2992822568579963
3,1,10,ATL,LAC,57,Pistol,False,Other,False,7,Cover-3,Zone,2,1,507,1.75,-1.0,0.8649968585396474
2,2,7,TEN,IND,102,Shotgun,False,Traditional,,8,Red Zone,Zone,3,1,466,23.0,23.0,0.0
4,1,10,NO,CIN,69,Shotgun,False,Traditional,,0,Cover-3,Zone,2,2,48,4.0,3.0,0.15415063220822547
4,1,10,DET,MIN,101,Singleback,False,Other,False,4,Quarters,Zone,2,2,773,3.0,0.3333333333333333,0.5877863982355767
4,3,9,BUF,MIA,35,Shotgun,False,Traditional,,5,Cover-1,Man,3,1,896,10.0,4.0,0.6190390765381205
4,1,10,MIA,MIN,41,Empty,False,Traditional,,13,Quarters,Zone,3,2,733,0.0,1.25,-0.3483064981898959
1,2,10,BUF,NYJ,97,Singleback,True,Rollout,,0,Cover-3,Zone,2,2,857,7.5,5.4,0.22314350369517244
2,2,2,NO,ARI,43,Shotgun,False,Scramble,False,14,2-Man,Man,2,2,90,2.0,12.5,-1.1314018405234303
4,1,10,IND,HOU,81,Singleback,False,Other,False,14,Cover-3,Zone,3,1,133,2.0,25.0,-1.7227662691697525
2,2,9,SF,ATL,24,Empty,False,Traditional,,14,Cover-1,Man,3,2,433,5.46061771272637,17.75,-0.8971239200316012
3,2,8,LAC,KC,37,Shotgun,False,Traditional,,6,Quarters,Zone,2,2,419,23.5,0.0,2.178531853129318
1,1,10,JAX,HOU,91,Shotgun,True,Traditional,,3,Cover-2,Zone,2,2,201,1.0,19.5,-1.7272205369794937
1,1,10,DAL,CHI,79,Singleback,True,Traditional,,16,Cover-2,Zone,2,2,699,7.5,5.46061771272637,0.21595302460900628
4,3,10,MIA,NYJ,51,Empty,False,Traditional,,5,Cover-3,Zone,3,2,838,6.5,4.5,0.23638872192389287
4,1,10,HOU,LV,70,Shotgun,False,Traditional,,0,Quarters,Zone,2,2,219,4.0,21.0,-1.2321434789117174
1,3,1,MIN,ARI,44,I-Form,False,Run,True,3,Cover-3,Zone,2,1,829,5.46061771272637,13.0,-0.6371664242091297
3,1,10,ARI,LA,99,Empty,False,Traditional,,5,Quarters,Zone,3,2,777,-1.0,0.0,-0.4054647747751087
4,1,10,CAR,SF,100,Shotgun,False,Traditional,,0,Cover-3,Zone,2,2,269,62.0,5.0,2.0949455089850626
2,1,10,MIN,ARI,93,Singleback,False,Other,False,19,Cover-3,Zone,2,2,894,3.0,10.5,-0.8109300310311881
3,2,9,NE,CLE,36,Shotgun,True,Traditional,,53,Cover-1,Man,2,2,861,17.5,5.46061771272637,0.8850025606746897
4,2,3,ARI,LV,13,Shotgun,False,Traditional,,0,Cover-0,Blitz,3,1,11,2.0,14.0,-1.2237751492692477
4,1,10,KC,BUF,56,Shotgun,False,Other,False,2,Cover-2,Zone,3,1,852,4.0,2.5,0.24116197889483545
2,2,11,LAC,JAX,74,Shotgun,False,Traditional,,0,Cover-6 Right,Zone,3,1,30,17.666666666666668,-0.3333333333333333,2.047692190139726
3,3,11,ATL,TB,27,Empty,False,Traditional,,10,Cover-2,Zone,3,2,815,2.8,1.5,0.25378042115928057
4,3,3,PIT,CLE,97,Shotgun,False,Scramble,,-3,Cover-1,Man,2,2,304,5.46061771272637,53.0,-1.8899293034187903
2,1,10,NO,CIN,90,Shotgun,False,Other,False,4,Cover-3,Zone,2,2,683,6.0,2.4,0.5108254756178865
1,1,10,HOU,LAC,38,Singleback,False,Other,False,9,Cover-3,Zone,3,1,713,3.2,3.0,0.03278981207030615
2,1,10,NYJ,CIN,91,Shotgun,False,Other,False,5,Cover-3,Zone,2,2,180,5.46061771272637,2.6666666666666665,0.40082101470142306
4,1,10,NO,SEA,33,Singleback,False,Other,False,7,Quarters,Zone,2,2,843,5.5,2.5,0.435317942915638
2,2,6,NYG,CHI,18,Singleback,True,Scramble,False,8,Cover-1,Man,3,1,324,5.46061771272637,16.0,-0.8090166613989491
3,1,10,DEN,IND,75,Shotgun,False,Traditional,,0,Cover-3 Seam,Zone,2,2,861,5.46061771272637,15.5,-0.7823484171617378
1,1,10,LV,ARI,54,I-Form,False,Other,False,6,Cover-2,Zone,2,1,780,8.5,12.2,-0.27894835014893665
1,1,5,MIN,ARI,40,Singleback,False,Other,False,3,Quarters,Zone,2,2,900,11.0,11.166666666666666,-0.011834455966330657
1,1,15,CLE,ATL,77,Singleback,True,Rollout,,25,Cover-2,Zone,3,1,844,1.0,17.0,-1.6094375124342204
2,2,4,BAL,TB,63,Shotgun,False,Other,False,2,Quarters,Zone,2,2,521,4.0,4.333333333333333,-0.0465200026478835
3,3,11,ATL,SEA,81,Empty,False,Traditional,,-7,Cover-3 Seam,Zone,4,1,655,4.0,4.0,0.0
1,1,10,LV,JAX,81,Shotgun,False,Other,False,-3,Cover-3,Zone,2,2,613,7.666666666666667,-0.25,1.3555221626806564
2,1,10,PIT,NE,58,Singleback,False,Other,False,0,Cover-3,Zone,2,2,865,-3.0,2.0,-14.73180168976846
2,1,10,DET,PHI,35,Singleback,False,Other,False,1,Quarters,Zone,2,2,776,3.5,1.0,0.48550762347408616
3,3,8,KC,LV,55,Shotgun,False,Traditional,,28,Cover-1,Man,3,1,391,3.0,10.5,-0.8109300310311881
4,2,1,PIT,TB,39,Singleback,False,QB_Sneak,True,3,Cover-1,Man,2,2,120,-1.5,3.75,-1.504076359740082
4,2,11,CAR,CLE,95,Singleback,False,Other,False,0,Cover-1,Man,2,2,84,31.0,25.0,0.19415600183591608
4,3,1,CIN,BAL,79,Singleback,True,Traditional,,8,Cover-3,Zone,2,2,322,5.714285714285714,16.0,-0.7794751398034246
4,1,10,LAC,SEA,72,Shotgun,False,Traditional,,0,Cover 6-Left,Blitz,2,2,398,13.25,1.25,1.341173578328212
1,1,10,DET,MIA,35,Shotgun,True,Traditional,,25,Cover-3,Zone,2,2,900,2.6666666666666665,4.5,-0.2803018788796753
3,2,10,KC,TB,100,Pistol,False,Traditional,,10,Red Zone,Zone,3,1,346,11.333333333333334,3.6,0.7755180144976894
1,1,10,GB,BUF,82,Singleback,False,Other,False,2,Cover-3,Zone,2,2,842,4.0,2.3333333333333335,0.271933626197957
3,3,17,ATL,CAR,28,Shotgun,False,Scramble,,5,Cover-2,Zone,2,2,614,2.4285714285714284,1.0,0.3053815179722915
2,3,1,WAS,JAX,74,Shotgun,False,Traditional,,25,Cover-1,Man,2,2,120,-0.75,-0.8,0.022472835650056422
3,2,6,LV,DEN,86,Singleback,False,Traditional,,16,Cover-3,Zone,3,1,394,5.0,3.25,0.24686000793154567
1,2,5,KC,TB,26,Shotgun,False,Traditional,,16,Quarters,Zone,3,1,860,11.0,4.666666666666667,0.60217528434182
4,1,10,DAL,NYG,73,Singleback,True,Rollout,,10,Cover-1,Man,2,2,606,10.333333333333334,1.5,1.0861894742251954
3,1,10,DET,PHI,87,Shotgun,False,Traditional,,0,Quarters,Zone,2,2,382,8.25,1.0,1.0340734453084255
3,1,10,CIN,ATL,48,Empty,False,Traditional,,5,Cover-3,Zone,3,2,544,6.0,18.333333333333332,-0.8630460888831408
2,4,4,JAX,HOU,47,Shotgun,False,Traditional,,0,Cover-2,Zone,3,1,490,1.5,14.0,-1.3291356204826483
2,1,10,MIA,NE,18,I-Form,False,Other,False,1,Cover-3,Zone,2,1,245,6.0,1.5,0.6931469583377972
4,3,7,DET,MIN,46,Shotgun,False,Other,False,6,Cover-1,Man,2,2,222,6.6,3.6,0.37469335474446497
1,1,10,BUF,BAL,88,Shotgun,False,Traditional,,0,Cover-3,Zone,3,1,64,5.0,14.0,-0.7537716700234633
1,3,6,NYJ,GB,71,Shotgun,False,Scramble,False,4,Cover-1,Man,3,1,491,5.0,12.0,-0.6286085427557299
1,1,10,CAR,CLE,32,Singleback,False,Traditional,,0,Cover-3,Zone,3,1,896,20.666666666666668,16.666666666666668,0.18514241594772454
4,1,10,DEN,HOU,24,Singleback,False,Other,False,3,Cover-3,Zone,2,2,588,0.0,10.5,-1.5040768782579668
4,2,6,BAL,CIN,42,Shotgun,True,Run,False,4,Cover-0,Blitz,2,1,52,3.6,3.0,0.09531014950130419
4,3,2,GB,CHI,101,Shotgun,True,Rollout,False,4,Cover-1,Man,3,1,398,3.6,12.0,-0.8209803823728975
3,2,10,HOU,PHI,23,Shotgun,False,Other,False,1,Quarters,Zone,2,2,126,4.166666666666667,0.6666666666666666,0.6701573959505783
3,3,5,BAL,NE,48,Shotgun,False,Traditional,,0,Cover-1,Man,3,1,163,3.6666666666666665,1.4,0.4155152894162697
4,1,10,KC,LV,63,Shotgun,True,Traditional,,7,Quarters,Zone,3,1,174,12.0,14.0,-0.12516312726773363
4,1,10,DEN,NYJ,35,Shotgun,False,Other,False,2,Cover-3,Zone,2,2,769,1.5,4.571428571428571,-0.5203041874270973
2,3,4,LV,TEN,29,Shotgun,False,Traditional,,-7,Bracket,Blitz,3,1,38,7.2,5.0,0.24294612468883278
3,3,1,TB,ATL,53,Singleback,False,Other,False,2,Cover-3,Zone,3,1,443,0.5,16.428571428571427,-1.7139812996981336
4,3,7,GB,MIN,62,Shotgun,False,Scramble,,-5,Cover-2,Zone,2,2,769,3.6666666666666665,4.0,-0.04879014988372191
3,1,10,WAS,IND,52,Singleback,False,Other,False,0,Cover-3,Zone,3,1,823,4.4,10.333333333333334,-0.5887870449654574
4,3,6,CHI,GB,104,Shotgun,False,Scramble,False,5,Cover-1,Man,2,2,513,3.0,9.333333333333334,-0.7205459835769309
3,1,11,BUF,MIA,99,Shotgun,False,Scramble,,0,Red Zone,Zone,2,2,241,3.75,11.333333333333334,-0.7530451653796357
1,2,10,KC,LV,64,Shotgun,False,Rollout,,11,Cover-1,Man,2,2,372,11.166666666666666,12.833333333333334,-0.11122562024954538
1,1,10,PIT,PHI,52,Singleback,True,Rollout,,3,Cover-2,Zone,2,2,313,0.0,0.75,-0.22314341798095638
2,1,10,PIT,PHI,32,Shotgun,False,Traditional,,2,Cover 6-Left,Blitz,3,1,25,0.75,1.2,-0.1133286281641749
4,3,1,TB,NO,91,Singleback,False,Other,False,0,Cover-1,Man,3,1,900,1.0,5.46061771272637,-0.749127561910878
4,1,10,CIN,ATL,22,Singleback,False,Other,False,6,Red Zone,Zone,2,2,140,5.888888888888889,14.625,-0.6845161798358662
1,1,10,SF,KC,88,Empty,False,Traditional,,0,Cover-6 Right,Zone,3,2,121,14.0,3.0,1.0414536591419352
3,3,7,HOU,LAC,44,Shotgun,False,Traditional,,20,Cover-2,Zone,3,1,211,3.7142857142857144,5.0,-0.17520404115276333
2,2,6,CAR,TB,79,Shotgun,False,Traditional,,11,Cover-3 Seam,Zone,2,2,63,15.5,6.285714285714286,0.6892935039674656
3,2,5,LV,LAC,92,Singleback,False,Rollout,,0,Cover-3,Zone,3,1,768,4.833333333333333,8.75,-0.4054650230017996
2,1,10,KC,ARI,30,Empty,False,Traditional,,22,Cover-2,Zone,3,2,65,11.142857142857142,10.0,0.08426033118572922
4,3,16,DEN,HOU,42,Shotgun,False,Traditional,,35,Cover-2,Zone,3,1,900,1.6666666666666667,9.0,-0.9444613469361673
2,1,10,DET,MIA,50,Shotgun,False,Traditional,,8,Cover-1,Man,2,2,30,6.5,8.5,-0.1910552001494439
3,2,9,NYJ,BAL,84,Shotgun,False,Scramble,,0,Cover-3 Seam,Zone,2,2,398,4.5,11.2,-0.6383388182433797
2,2,7,SEA,NYG,38,Shotgun,True,Rollout,,7,Quarters,Zone,3,1,314,1.6666666666666667,4.333333333333333,-0.451984967898956
2,1,10,KC,TEN,35,Shotgun,False,Other,False,1,Quarters,Zone,2,2,324,12.5,1.0,1.354545291837685
4,1,10,GB,NE,68,Singleback,False,Other,False,2,Cover-3,Zone,3,1,176,2.4285714285714284,1.1666666666666667,0.2645595434520264
1,2,2,NYG,DAL,30,Singleback,False,Other,False,-1,Cover-3 Seam,Zone,2,2,679,8.0,4.0,0.4519850198469776
1,1,10,NE,PIT,93,Shotgun,False,Scramble,False,2,Cover 6-Left,Blitz,2,2,494,24.6,9.0,0.832909028732217
4,1,10,SEA,ATL,80,Singleback,False,Other,False,6,Quarters,Zone,3,1,159,3.0,13.666666666666666,-1.0216510341986964
4,2,3,MIA,NE,67,I-Form,True,Rollout,,0,Cover-3,Zone,2,1,542,4.75,1.2857142857142858,0.5924054021563385
1,3,1,HOU,TEN,52,Other,False,Other,False,3,Cover-3,Zone,2,1,534,5.75,1.0,0.7827590678211599
2,1,10,PIT,BUF,83,Shotgun,False,Traditional,,5,Cover-2,Zone,3,1,56,1.0,2.25,-0.27193359643607506
3,2,6,NYJ,CIN,34,Shotgun,False,Traditional,,0,Cover-2,Zone,2,2,212,3.0,3.125,-0.020619280400016843
2,3,11,CIN,MIA,51,Shotgun,False,Traditional,,59,Bracket,Blitz,2,2,178,5.9,8.4,-0.2475620293818608
2,2,1,DET,MIA,11,Singleback,False,Other,False,1,Goal Line,Blitz,2,2,829,6.714285714285714,16.833333333333332,-0.7137663627206804
1,1,10,BUF,NYJ,57,Singleback,True,Traditional,,0,Cover-3,Zone,2,2,669,3.0,4.25,-0.18924194216728155
1,3,6,NO,BAL,66,Shotgun,False,Traditional,,0,Cover-3,Zone,2,2,793,5.8,9.333333333333334,-0.33755383738140154
3,1,10,SEA,NYG,48,Shotgun,True,Traditional,,21,Quarters,Zone,3,1,304,3.6,5.0,-0.1923718396171676
4,3,30,TB,GB,40,Shotgun,False,Traditional,,11,Cover-3,Zone,2,2,410,0.75,8.25,-1.0986119331126807
4,3,8,WAS,JAX,86,Empty,False,Traditional,,27,Cover-3,Zone,3,2,618,3.6666666666666665,3.5,0.025317800291984664
2,2,3,JAX,WAS,78,Shotgun,False,Traditional,,8,Quarters,Zone,2,2,46,1.2,4.2,-0.5389963023200633
4,2,5,DET,PHI,35,Empty,False,Traditional,,3,Quarters,Zone,3,2,262,6.0,1.3333333333333333,0.7308872692266348
1,3,13,LAC,KC,86,Shotgun,False,Traditional,,11,Quarters,Zone,3,1,407,10.6,2.0,1.0006316273667983
3,1,10,BUF,BAL,67,Shotgun,False,Other,False,3,Cover-2,Zone,2,1,342,2.5,8.0,-0.6931469987418131
3,1,10,NE,NYJ,83,Shotgun,False,Traditional,,13,Quarters,Zone,2,2,856,20.833333333333332,3.7777777777777777,1.2574356630289172
3,1,10,MIA,DET,39,Singleback,False,Other,False,4,Cover-3,Zone,3,1,182,3.8,3.25,0.08434112255140595
2,3,10,DET,PHI,32,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,597,5.666666666666667,1.5714285714285714,0.6396582888782589
3,3,10,TEN,IND,35,Empty,False,Traditional,,14,Cover-1,Man,3,2,207,13.666666666666666,7.75,0.43850489613986304
4,2,13,DAL,WAS,16,Singleback,False,Other,False,2,Quarters,Zone,3,1,716,8.0,4.833333333333333,0.3395070668154159
2,3,16,PHI,JAX,26,Shotgun,False,Scramble,False,13,Cover-3,Zone,2,2,604,8.666666666666666,6.857142857142857,0.1685393858093844
4,1,10,IND,JAX,66,Shotgun,False,Traditional,,0,Quarters,Zone,2,2,900,3.6666666666666665,7.625,-0.4660896181599206
1,2,8,DAL,TB,83,Singleback,True,Traditional,,0,Quarters,Zone,2,2,253,7.0,6.875,0.012578779675215063
4,3,1,GB,MIN,28,Shotgun,False,Traditional,,0,Quarters,Zone,3,1,232,2.375,2.7142857142857144,-0.06121070895188129
2,3,17,DEN,JAX,65,Shotgun,False,Traditional,,0,Prevent,Blitz,3,1,10,7.8,6.777777777777778,0.09943387762792141
4,1,10,IND,TEN,44,Shotgun,True,Traditional,,0,Cover-3,Zone,3,1,286,3.142857142857143,1.4,0.3336852967500249
1,1,10,MIA,MIN,35,Shotgun,False,Traditional,,8,Cover-6 Right,Zone,2,1,810,3.8333333333333335,2.375,0.2400539440524562
3,1,10,TB,GB,87,Shotgun,False,Traditional,,-3,Cover-3,Zone,3,1,153,2.8,8.8,-0.7102414385832299
2,3,1,ATL,LA,97,Singleback,False,Other,False,0,Cover-3,Zone,2,2,370,2.75,1.3333333333333333,0.2828626723035035
1,2,10,IND,HOU,80,Shotgun,False,Traditional,,11,Cover-2,Zone,2,2,222,2.75,13.333333333333334,-1.0440079292562034
2,1,10,SEA,ATL,28,Pistol,False,Traditional,,18,Cover-1,Man,2,2,244,6.5,12.9,-0.5150272258795526
1,1,10,NO,ATL,87,Singleback,False,Other,False,5,Cover-2,Zone,3,1,466,4.833333333333333,13.363636363636363,-0.7366733125129348
4,2,3,KC,LV,31,Shotgun,False,Other,False,7,Quarters,Zone,2,2,651,11.222222222222221,12.25,-0.06977380699256515
2,1,10,MIN,DET,90,Shotgun,False,Other,False,13,Cover-3,Zone,2,2,624,8.333333333333334,3.4,0.571450109553047
3,2,2,TB,BAL,63,Singleback,False,Other,False,0,Cover-3,Zone,2,2,474,1.8333333333333333,7.375,-0.7638624843363909
4,2,10,HOU,PHI,63,Singleback,True,Scramble,,0,Cover-3,Zone,3,1,548,5.1,1.375,0.6159573316396122
2,1,10,CLE,LAC,73,Shotgun,False,Other,False,10,Cover-1,Man,3,1,56,5.8,6.166666666666667,-0.04082198542934813
3,1,10,DET,SEA,56,Singleback,False,Other,False,3,Cover-1,Man,2,1,431,5.1,1.0,0.7055694474721769
4,1,7,LV,DEN,103,I-Form,False,Other,False,7,Goal Line,Blitz,1,1,127,4.142857142857143,5.8,-0.2086388123840685
3,2,6,NE,BAL,35,Shotgun,False,Traditional,,8,Cover-3,Zone,3,1,483,19.714285714285715,6.555555555555555,0.8658712129956371
4,2,7,CLE,ATL,67,Singleback,False,Traditional,,9,Cover-1,Man,3,1,681,6.5,12.666666666666666,-0.5002434315687263
2,1,10,BUF,KC,100,Shotgun,False,Other,False,7,Red Zone,Zone,2,2,447,2.5714285714285716,4.25,-0.2633498886799866
3,1,10,LA,ARI,71,I-Form,False,Other,False,5,Cover-3,Zone,2,1,174,5.0,11.5,-0.594706995677749
4,2,2,ATL,CIN,38,Shotgun,False,Other,False,-1,Cover-1,Man,2,2,802,2.4444444444444446,2.7777777777777777,-0.05942339927771566
3,1,10,LV,JAX,28,I-Form,False,Other,False,8,Cover 6-Left,Blitz,2,1,609,4.5,6.1,-0.1933713460941039
2,2,6,NYJ,NE,35,Shotgun,False,Traditional,,10,Cover-3,Zone,2,2,81,2.25,1.125,0.2411619529208292
2,2,6,PIT,CLE,54,Singleback,False,Other,False,17,Cover-3,Zone,3,1,391,1.6666666666666667,12.5,-1.200394683438965
2,1,10,ATL,SF,40,Pistol,True,Run,False,8,Cover-3,Zone,2,1,422,2.1,2.5,-0.0755075239876567
2,2,10,WAS,PHI,30,Shotgun,False,Traditional,,0,Cover-6 Right,Zone,2,2,399,7.0,1.2222222222222223,0.8622232369197609
2,3,16,CHI,NE,83,Shotgun,False,Scramble,,17,Cover-3,Zone,3,1,19,4.0,2.111111111111111,0.3144932243124112
3,1,10,NYJ,NE,63,Singleback,True,Traditional,,27,Cover-3,Zone,2,2,658,3.8,3.6,0.029852954237027805
