down,yardsToGo,absoluteYardlineNumber,quarter,offenseFormation,playAction,dropbackType,qbSneak,rushLocationType,pff_runConceptPrimary,pff_runPassOption,pff_passCoverage,pff_manZone,yardsGained,secondsRemainingInQuarter,leftReceivers,rightReceivers
1,10,69,1,SINGLEBACK,1,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,16,699,2,2
3,10,41,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,5,838,3,2
1,10,60,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,219,2,2
3,1,34,1,I_FORM,0,DESIGNED_RUN,1,INSIDE_RIGHT,SNEAK,0,Cover-3,Zone,3,829,2,1
1,10,89,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,5,777,3,2
1,10,90,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,269,2,2
1,10,83,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,19,894,2,2
2,9,26,3,SHOTGUN,1,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,53,861,2,2
2,3,3,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-0,Man,0,11,3,1
1,10,46,4,SHOTGUN,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,1,Cover-2,Zone,2,852,3,1
2,11,64,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,0,30,3,1
3,11,17,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,10,815,3,2
3,3,87,4,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-1,Man,-3,304,2,2
1,10,80,2,SHOTGUN,0,,0,OUTSIDE_LEFT,INSIDE ZONE,0,Cover-3,Zone,4,683,2,2
1,10,28,1,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,9,713,3,1
1,10,81,2,SHOTGUN,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-3,Zone,5,180,2,2
1,10,23,4,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Quarters,Zone,7,843,2,2
2,6,8,2,SINGLEBACK,1,SCRAMBLE,0,OUTSIDE_LEFT,POWER,0,Cover-1,Man,8,324,3,1
1,10,65,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,0,861,2,2
1,10,44,1,I_FORM,0,,0,INSIDE_RIGHT,TRAP,0,Cover-2,Zone,6,780,2,1
1,5,30,1,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Quarters,Zone,3,900,2,2
1,15,67,1,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-2,Zone,25,844,3,1
2,4,53,2,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,0,Quarters,Zone,2,521,2,2
3,11,71,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,-7,655,4,1
1,10,71,1,SHOTGUN,0,,0,OUTSIDE_RIGHT,POWER,0,Cover-3,Zone,-3,613,2,2
1,10,48,2,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,0,865,2,2
1,10,25,2,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Quarters,Zone,1,776,2,2
3,8,45,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,28,391,3,1
2,1,29,4,SINGLEBACK,0,QB_SNEAK,1,INSIDE_RIGHT,SNEAK,0,Cover-1,Man,3,120,2,2
2,11,85,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,INSIDE ZONE,0,Cover-1,Man,0,84,2,2
3,1,69,4,SINGLEBACK,1,TRADITIONAL,0,NONE,MAN,0,Cover-3,Zone,8,322,2,2
1,10,62,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,0,398,2,2
1,10,25,1,SHOTGUN,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,25,900,2,2
2,10,90,3,PISTOL,0,TRADITIONAL,0,NONE,NONE,0,Red Zone,Other,10,346,3,1
1,10,72,1,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-3,Zone,2,842,2,2
3,17,18,3,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-2,Zone,5,614,2,2
3,1,64,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,25,120,2,2
2,6,76,3,SINGLEBACK,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,16,394,3,1
2,5,16,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,16,860,3,1
1,10,63,4,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-1,Man,10,606,2,2
1,10,77,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,382,2,2
1,10,38,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,5,544,3,2
4,4,37,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,0,490,3,1
1,10,8,2,I_FORM,0,UNKNOWN,0,INSIDE_LEFT,INSIDE ZONE,0,Cover-3,Zone,1,245,2,1
3,7,36,4,SHOTGUN,0,,0,OUTSIDE_LEFT,POWER,1,Cover-1,Man,6,222,2,2
1,10,78,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,64,3,1
3,6,61,1,SHOTGUN,0,SCRAMBLE,0,INSIDE_RIGHT,NONE,0,Cover-1,Man,4,491,3,1
1,10,22,1,SINGLEBACK,0,TRADITIONAL,0,NONE,DRAW,1,Cover-3,Zone,0,896,3,1
1,10,14,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,3,588,2,2
2,6,32,4,SHOTGUN,1,DESIGNED_RUN,0,INSIDE_LEFT,POWER,0,Cover-0,Man,4,52,2,1
3,2,91,4,SHOTGUN,1,SCRAMBLE_ROLLOUT_RIGHT,0,OUTSIDE_RIGHT,INSIDE ZONE,1,Cover-1,Man,4,398,3,1
2,10,13,3,SHOTGUN,0,,0,INSIDE_LEFT,POWER,1,Quarters,Zone,1,126,2,2
3,5,38,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,163,3,1
1,10,53,4,SHOTGUN,1,TRADITIONAL,0,NONE,OUTSIDE ZONE,1,Quarters,Zone,7,174,3,1
1,10,25,4,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,0,Cover-3,Zone,2,769,2,2
3,4,19,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Bracket,Other,-7,38,3,1
3,1,43,3,SINGLEBACK,0,,0,INSIDE_RIGHT,MAN,1,Cover-3,Zone,2,443,3,1
3,7,52,4,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-2,Zone,-5,769,2,2
1,10,42,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,0,823,3,1
3,6,94,4,SHOTGUN,0,SCRAMBLE,0,INSIDE_RIGHT,NONE,0,Cover-1,Man,5,513,2,2
1,11,89,3,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Red Zone,Other,0,241,2,2
2,10,54,1,SHOTGUN,0,DESIGNED_ROLLOUT_RIGHT,0,NONE,NONE,0,Cover-1,Man,11,372,2,2
1,10,42,1,SINGLEBACK,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,POWER,0,Cover-2,Zone,3,313,2,2
1,10,22,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover 6-Left,Zone,2,25,3,1
3,1,81,4,SINGLEBACK,0,,0,INSIDE_LEFT,MAN,0,Cover-1,Man,0,900,3,1
1,10,12,4,SINGLEBACK,0,,0,OUTSIDE_LEFT,OUTSIDE ZONE,0,Red Zone,Other,6,140,2,2
1,10,78,1,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,0,121,3,2
3,7,34,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,20,211,3,1
2,6,69,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3 Seam,Zone,11,63,2,2
2,5,82,3,SINGLEBACK,0,DESIGNED_ROLLOUT_RIGHT,0,NONE,COUNTER,0,Cover-3,Zone,0,768,3,1
1,10,20,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,22,65,3,2
3,16,32,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,35,900,3,1
1,10,40,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,8,30,2,2
2,9,74,3,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-3 Seam,Zone,0,398,2,2
2,7,28,2,SHOTGUN,1,DESIGNED_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Quarters,Zone,7,314,3,1
1,10,25,2,SHOTGUN,0,,0,INSIDE_LEFT,INSIDE ZONE,0,Quarters,Zone,1,324,2,2
1,10,58,4,SINGLEBACK,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,2,176,3,1
2,2,20,1,SINGLEBACK,0,,0,INSIDE_LEFT,PULL LEAD,0,Cover-3 Seam,Zone,-1,679,2,2
1,10,83,1,SHOTGUN,0,SCRAMBLE,0,INSIDE_LEFT,NONE,0,Cover 6-Left,Zone,2,494,2,2
1,10,70,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Quarters,Zone,6,159,3,1
2,3,57,4,I_FORM,1,SCRAMBLE_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,0,542,2,1
3,1,42,1,JUMBO,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,3,534,2,1
1,10,73,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,5,56,3,1
2,6,24,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,0,212,2,2
3,11,41,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Bracket,Other,59,178,2,2
2,1,1,2,SINGLEBACK,0,,0,INSIDE_RIGHT,MAN,0,Goal Line,Other,1,829,2,2
1,10,25,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Miscellaneous,Other,0,22,3,1
1,10,47,1,SINGLEBACK,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,669,2,2
3,6,56,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,793,2,2
1,10,38,3,SHOTGUN,1,TRADITIONAL,0,NONE,POWER,0,Quarters,Zone,21,304,3,1
3,30,30,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,11,410,2,2
3,8,76,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,27,618,3,2
2,3,68,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,8,46,2,2
2,5,25,4,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,3,262,3,2
3,13,76,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,11,407,3,1
1,10,57,3,SHOTGUN,0,,0,INSIDE_RIGHT,DRAW,1,Cover-2,Zone,3,342,2,1
1,10,73,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,13,856,2,2
1,10,29,3,SINGLEBACK,0,,0,OUTSIDE_LEFT,OUTSIDE ZONE,0,Cover-3,Zone,4,182,3,1
1,10,62,2,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-3 Cloud Left,Zone,10,447,3,1
3,10,22,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,597,3,1
3,10,25,3,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,14,207,3,2
2,13,6,4,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Quarters,Zone,2,716,3,1
3,16,16,2,SHOTGUN,0,SCRAMBLE,0,INSIDE_RIGHT,OTHER,0,Cover-3,Zone,13,604,2,2
1,10,56,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,900,2,2
2,8,73,1,SINGLEBACK,1,TRADITIONAL,0,NONE,POWER,0,Quarters,Zone,0,253,2,2
3,1,18,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,0,232,3,1
3,17,55,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Prevent,Other,0,10,3,1
1,10,34,4,SHOTGUN,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,0,286,3,1
1,10,25,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,8,810,2,1
1,10,77,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,-3,153,3,1
3,1,87,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,0,370,2,2
2,10,70,1,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,11,222,2,2
1,10,18,2,PISTOL,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,18,244,2,2
1,10,77,1,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-2,Zone,5,466,3,1
2,3,21,4,SHOTGUN,0,,0,OUTSIDE_LEFT,TRICK,1,Quarters,Zone,7,651,2,2
1,10,80,2,SHOTGUN,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,13,624,2,2
2,2,53,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,TRICK,0,Cover-3,Zone,0,474,2,2
2,10,53,4,SINGLEBACK,1,SCRAMBLE,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,0,548,3,1
1,10,63,2,SHOTGUN,0,,0,INSIDE_RIGHT,DRAW,0,Cover-1,Man,10,56,3,1
1,10,46,3,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-1,Man,3,431,2,1
1,7,93,4,I_FORM,0,,0,INSIDE_LEFT,MAN,0,Goal Line,Other,7,127,1,1
2,6,25,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,8,483,3,1
2,7,57,4,SINGLEBACK,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,9,681,3,1
1,10,90,2,SHOTGUN,0,,0,INSIDE_RIGHT,PULL LEAD,1,Red Zone,Other,7,447,2,2
1,10,61,3,I_FORM,0,,0,INSIDE_RIGHT,MAN,0,Cover-3,Zone,5,174,2,1
2,2,28,4,SHOTGUN,0,,0,OUTSIDE_LEFT,MAN,0,Cover-1,Man,-1,802,2,2
1,10,18,3,I_FORM,0,,0,OUTSIDE_LEFT,MAN,0,Cover 6-Left,Zone,8,609,2,1
2,6,25,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,10,81,2,2
2,6,44,2,SINGLEBACK,0,,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,17,391,3,1
1,10,30,2,PISTOL,1,DESIGNED_RUN,0,OUTSIDE_RIGHT,MAN,0,Cover-3,Zone,8,422,2,1
2,10,20,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,0,399,2,2
3,16,73,2,SHOTGUN,0,SCRAMBLE,0,NONE,NONE,0,Cover-3,Zone,17,19,3,1
1,10,53,3,SINGLEBACK,1,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,27,658,2,2
3,15,90,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Quarters,Zone,9,227,2,2
1,10,49,2,EMPTY,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,15,21,3,2
1,10,19,1,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-1,Man,1,154,2,2
2,10,72,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,22,552,3,1
3,7,77,4,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Prevent,Other,20,7,3,1
1,5,5,2,JUMBO,0,,0,INSIDE_LEFT,INSIDE ZONE,0,Cover-0,Man,5,900,2,2
2,1,66,1,PISTOL,0,,0,OUTSIDE_RIGHT,OUTSIDE ZONE,0,Cover-6 Right,Zone,7,863,2,1
1,10,45,4,SHOTGUN,0,UNKNOWN,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-1,Man,1,218,2,2
2,6,36,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-2,Zone,17,780,3,1
1,5,62,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-3,Zone,6,317,3,1
1,10,25,1,SHOTGUN,0,,0,INSIDE_RIGHT,OUTSIDE ZONE,0,Cover-3,Zone,2,200,2,1
2,7,50,3,SINGLEBACK,0,,0,INSIDE_RIGHT,COUNTER,0,Cover-2,Zone,5,412,3,1
1,10,75,2,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-6 Right,Zone,5,100,3,1
1,10,56,1,SHOTGUN,0,TRADITIONAL,0,NONE,INSIDE ZONE,1,Cover-3,Zone,3,589,2,2
2,10,24,3,SHOTGUN,0,TRADITIONAL,0,NONE,NONE,0,Cover-1,Man,0,707,3,1
1,10,90,1,SHOTGUN,0,,0,INSIDE_RIGHT,INSIDE ZONE,0,Cover-3,Zone,2,894,2,1
2,6,45,1,SINGLEBACK,1,SCRAMBLE_ROLLOUT_RIGHT,0,NONE,OUTSIDE ZONE,0,Cover-3,Zone,-3,813,2,2
1,10,75,3,SINGLEBACK,0,,0,INSIDE_LEFT,OUTSIDE ZONE,0,Cover-1,Man,5,900,3,1
